id,title,rank,keyword_Location,keyword_Candidate,cluster,clusterLabel
1482177374,Zero waste food retail - Happy senior woman holding reusable bag of fresh vegetables at local market store - Sustainable eco concept - Focus on face,855,South America,,other,Other
496635982,Recycling bins,856,,,household_waste,Household waste
878812572,A modern smart trash can on the street in Prague in the Czech Republic. Collection of waste in Europe for subsequent disposal. Eco-friendly waste collection. In the background the car is in motion.,857,Prague|Czech Republic,,dumpsites,Dumpsites
1001225348,Conceptual still life image portraying food waste of an orange with mold growth,858,,,other,Other
1158115656,Composted Soil Cycle,859,Canada,,fruit_vegetables_consumption,Fruit vegetables consumption
1266151835,Making compost from leftovers,860,Serbia,,compost,Compost
941859784,Save the Planet,861,France|Spain|Italy,,dumpsites,Dumpsites
1164091770,"Fresh organic vegetables, fruits and greens in reusable recycled mesh produce bags on wooden background with copy space. Zero waste shopping concept. No single-use plastic.",862,Russia,,other,Other
118733195,Empty take out food container with plastic knife and fork,863,,,packaging,Packaging
681825072,Seagull eating trash on beach,864,USA,,other,Other
1506463153,"Gloved hand holds polypropylene granules, industrial material, plastic granules",865,China - East Asia,,other,Other
1177031978,Kitchen sink waste filter trapped waste from flowing into drainage,866,Malaysia,,other,Other
1177031991,Kitchen sink waste filter trapped waste from flowing into drainage,867,Malaysia,,other,Other
1327060852,Coffee grounds being added to baby vegetables plant as natural organic fertilizer rich in nitrogen for growth,868,Malaysia,,compost,Compost
1400087494,Young Man Throwing Food Leftovers For Compost,869,Serbia,,other,Other
1131760380,A female shop assistant serving a senior couple in a zero-waste shop.,870,Slovakia,,other,Other
1423034676,a pile of rotten apples lies on the ground,871,Russia,,fruit_vegetables_production,Fruit vegetables production
166129032,Container of kitchen,872,,,other,Other
1217350144,Fish on the deck of a fishing boat.,873,,,other,Other
1433524121,Women doing work outdoors in the garden  on a sunny day,874,,,other,Other
172651146,Finished high tea,875,,,leftovers,Leftovers
1287668442,Group of empty opened mussel shells,876,Russia,,other,Other
1458180985,"Recycled Packaging Concept. Woman Using Chopsticks to Eating Hot Boiled Instant Noodles from Recycled Bow. Zero Waste Materials. Environment Care, Reuse, Renewable for Sustainable Lifestyle",877,Thailand,,other,Other
1328773336,Cuts a lemon to make lemonade. Vegetarian food concept.,878,Russia,,other,Other
1396330508,"Woman peeling cucumber over kitchen sink with garbage disposal at home, closeup",879,Ukraine,,household_waste,Household waste
1369909709,"Fresh bread, avocado and tomatoes in a reusable bag on a stylish wooden kitchen surface. Zero waste concept",880,,,other,Other
1316931907,Throwing Away Food Leftover. Discarded Meal,881,Germany,,leftovers,Leftovers
458054703,Maize ears left on a field,882,,,other,Other
1363938974,Side view of overweight female wearing autumn hat and jacket opening trash can and looking inside in cloudy day.,883,Russia,,other,Other
1264577086,Dirty foam bowls with plastic spoons and chopsticks isolated on white,884,Thailand,,packaging,Packaging
807897570,"Scrap, metal and aluminium",885,Sweden,,other,Other
