query,cluster,text,videosNumber,ids,querySlug
pfas,17,france,5,7221898362264521989|7239360213369834778|7272691846848023840|7269466131159633185|7303513194067266848,pfas
pfas,17,fypage,3,7239404547557313818|7236901259280698650|7233913881414913306,pfas
pfas,18,foryou,15,7092383474186767621|7090434943121198342|7100464578701708549|7119970093672484102|7168178506851978501|7191539690837675270|7227016690784095515|7226267220035276059|7225993811657248027|7269466131159633185|7295461470513483041|7288432244442615073|7285384601361599777|7318457060906110241|7318113789621062944,pfas
pfas,18,ideecadeau,3,7181391074500332805|7184021086810557701|7200388730144754949,pfas
pfas,18,illzach,9,7173568017027157254|7172301342931799302|7196776374109998341|7270461899530095905|7270132781206736161|7294361173485440289|7294011391193713952|7318457060906110241|7318113789621062944,pfas
pfas,19,pourtoi,41,7221294085821271302|7275355701419969825|7061639033968987398|7092383474186767621|7090434943121198342|7119970093672484102|7168178506851978501|7192986963442470149|7191539690837675270|7198480202219949317|7211520689067543814|7211453805081234693|7210155841821953286|7210084204296572166|7208236496824864006|7227016690784095515|7226277548106321179|7226267220035276059|7225993811657248027|7221944581858823430|7221898362264521989|7239360213369834778|7239355383150628123|7235607047230721307|7239687385901059355|7259767289673698587|7255464596503350554|7272992101611195681|7269466131159633185|7263442020658711841|7284549846466432288|7275355701419969825|7295461470513483041|7285384601361599777|7306668377236409633|7296570864374435105|7318457060906110241|7318113789621062944|7318067102135422240|7221294085821271302|7275355701419969825,pfas
pfas,19,papiertoilette,3,7221294085821271302|7223708399865711899|7221294085821271302,pfas
pfas,19,poele,5,7296545863361465632|7268998312848543008|7291967771464781088|7296545863361465632|7296545863361465632,pfas
pfas,19,produitschimiques,3,7136518594153762053|7152823495347457286|7211520689067543814,pfas
pfas,19,peugeot,6,7192986963442470149|7191933120151555333|7187793645024660741|7187793266983636229|7202311632360443141|7217473134646119686,pfas
pfas,19,peugeot208,4,7215504225730628870|7217473134646119686|7255344646333746458|7265753570845232416,pfas
glyphosate,0,lobby,5,7080970400691211525|7164867049573944582|7080970400691211525|7164867049573944582|7080970400691211525,glyphosate
