username,video_description,hashtag_names,id,like_count,music_id,region_code,comment_count,create_time,share_count,view_count
3dadady,"Purificateur d'air à générateur d'ozone O3, désodorisant de réfrigérateur, prolongateur de durée de conservation des aliments, élimine la fumée, l'odeur des toilettes des animaux domestiques, pour placard de voiture",,7155424056643243269,2,6777274113254754306,FR,2,1666001998,0,353
titialifestyle,#commentjaisauvémacasserole  et enlever l’odeur de brûlé de ma maison  Parfois je me fatigue et au lieu d’éteindre le feu je l’ai augmenté 🤦‍♀️ du coup adieu la patate douce et la casserole  J’ai directement sorti mon counter cleaner et j’ai réussi a sauver ma casserole   Problème l’odeur de cramé dans la maison c’était pas possible et c’est la que je remercie Scentsy pour avoir un réchaud ou diffuseur par piece car il fallait au moins ca !   Et après hop hop un coup de purificateur d’air car on va pas se mentir y’en a eu besoin . Mon cheri s’est pas rendu compte de la betise car cela m’a permis de tout purifier  Je lui ai dit vous inquiétez pas lol avec Téa j’aurais pas pu le cacher elle repete tout 😂  #lessenteursdetitia #scentsy #scentsylife #mumlifeontiktok #myscentsyworldbytitia #counterclean #warmer #purifierscentsy #casserolebrulé #merciscentsy,"scentsy,warmer,scentsylife,counterclean,mumlifeontiktok,myscentsyworldbytitia,lessenteursdetitia,merciscentsy,purifierscentsy,commentjaisauvémacasserole,casserolebrulé",7151881187567471878,8,6789981350691604481,FR,3,1665177105,2,1192
innodif,"Le meilleur purificateur d’air, tres ergonomique #bienetre #vente #beau # utile#tiktokmademebuyit #tiktok #putificateur ","tiktok,beau,vente,bienetre,tiktokmademebuyit,putificateur",7151517767168986374,2,7151517794209663749,FR,0,1665092492,1,8
deepstylee,Voici votre nouveau purificateur d'air rotatif à double anneau disponible de suite ( lien en bio )  #fyp,fyp,7170826857733033222,1,7170826869327006470,FR,0,1669588239,1,6
miss_chaton10,p#pourtoi #foryou #purificateurdair #sante,"foryou,sante,pourtoi,purificateurdair",7166978491651542278,9,6871347646007609346,FR,2,1668692223,0,434
refreshz67,"Le purificateur d’air REFRESHZ, un produit 🇫🇷 !",,7165504574747446533,0,7165504578761624326,FR,0,1668349048,0,110
ehlen16,"Le monde est confronté à de nombreux défis : 🆘 Goulets d'étranglement énergétiquement 🆘 Pollution de l'environnement 🆘 Augmentation de l'allergie des enfants 🆘 Augmentation de la pollution par les poussières 🆘 Faiblesses hygiéniquement Le monde et tous ses habitants subissent littéralement les changements climatiques ainsi que des ressources limitées. ❗️ Depuis plus de 30 ans, HYLA Development s'est concentré et a été motivé pour produire durablement un produit qui réduit considérablement la plupart des défis de santé intérieure et de ressources naturelles extérieures ✅ ♻️ De nombreuses universités et scientifiques célèbres à l'échelle internationale assignent à HYLA EST le titre Dispositif de santé préventif et de soutien 💚. Le HYLA EST signifie : 👉 Naturel ✅ 👉 Durable ✅ 👉 Économies d'énergie ✅ 👉 Respectueux de l'environnement ✅ 👉 100% hygiéniquement et sain ✅ Protégez votre famille de la poussière intérieure et apportez votre contribution à un monde meilleur 🌎💚 ♻️ www.hyla.com 👉 la photo illustre l'air naturel HYLA et le nettoyage des pièces uniquement par l'eau. 👉 Les filtres à vide réguliers augmentent la poussière fine à l'intérieur et la pollution de l’air #hyla #allergènes #nanoparticules #allergies #asthme #airpurifier #santé #purification #hylaevolution #marne #aisne #opportunities #nature #microparticule #purificateurdair.","nature,allergies,opportunities,purification,hyla,marne,asthme,aisne,santé,airpurifier,microparticule,hylaevolution,nanoparticules,purificateurdair,allergènes",7163950720297733382,11,6709413378747533314,FR,2,1667987265,6,448
julienericschaff,#purificateurdair #rainbow #purificateurdeau,"rainbow,purificateurdair,purificateurdeau",7163759701383974150,13,6709408024496179202,FR,1,1667942787,0,457
braindegeek,Détruire le #COVID avec un purificateur d'air ? 🤔 Le purificateur d'air JYA est l'un des rares purificateurs d'air qui embarque la technologie UV-C. (Lien dans ma bio) #technologie #objetsconnectés #objetconnecté #nouvelletechnologie #hightech,"hightech,technologie,covid,nouvelletechnologie,objetconnecté,objetsconnectés",7178142564044836101,3803,7124892429840304130,FR,7,1671291557,45,22898
romainlephoceen,🎁🎁🎁 GIGA UNBOXING POUR NOËL : C’est partiii ! 😍🔥 #noel #partie1 #unboxing #apple #appleiphone #belkin #purificateurdair #applewatch #maison #home #macway #macwayfr #cadeau #MadeWithKeurigContest,"home,apple,noel,applewatch,appleiphone,maison,unboxing,cadeau,belkin,partie1,macway,purificateurdair,MadeWithKeurigContest,macwayfr",7177407511098707205,57,6886912570821707777,FR,2,1671120414,0,958
