query,querySlug,cluster,clusterLabel,text,videosNumber,ids
detox,detox,beauty,Beauty,hairtok,8,7307336912224734496|7068275514439388421|7204804187010452742|7239296364406967579|7238958025342487834|7273203128839785761|7307336912224734496|7307336912224734496
detox,detox,beauty,Beauty,tiktokviral,4,7125051448152444165|7136097495637101830|7135474316325506309|7250032194889010459
detox,detox,healthy-eating,Healthy eating,juice,22,7054537702909267205|7049326424099949829|7209285116906966277|7206006635184016645|7081180565369605381|7080903447230336262|7078810502301814022|7078798324362398981|7091726624353176837|7114976189005024518|7159889042803363077|7159839797085768966|7171045912633003270|7182310243253161222|7194396652529044741|7205359594015575301|7204890443107110149|7261858705338109211|7261562115314486555|7283951359613832480|7209285116906966277|7206006635184016645
detox,detox,healthy-eating,Healthy eating,voeden,3,7104186065296051461|7283951359613832480|7104186065296051461
detox,detox,healthy-eating,Healthy eating,nutritionalcleansing,3,7104186065296051461|7104186065296051461|7283152761808555297
detox,detox,healthy-eating,Healthy eating,voeding,25,7125390014782950661|7153632159822138629|7192344833221037318|7191181306196282629|7190789232619687173|7190296637464464645|7221519739594542341|7258939731495505179|7293817174374780192|7293157946471583008|7194812069835754758|7239405587950308634|7238940132701736219|7105260452975889669|7125390014782950661|7153632159822138629|7192344833221037318|7191181306196282629|7190789232619687173|7190296637464464645|7221519739594542341|7258939731495505179|7265211977553693984|7293817174374780192|7293157946471583008
detox,detox,healthy-eating,Healthy eating,keto,7,7116166330209815813|7217107180770675974|7250231729523379483|7080600221616459013|7250231729523379483|7116166330209815813|7250231729523379483
detox,detox,healthy-eating,Healthy eating,vitaminen,5,7127993533532851462|7153632159822138629|7127993533532851462|7153632159822138629|7249998050632928539
detox,detox,healthy-eating,Healthy eating,diabetes,3,7139513847341124870|7139513847341124870|7198236039884950790
detox,detox,healthy-eating,Healthy eating,vegan,23,7156663523517402374|7190719786337242374|7210807931204406533|7249052078994165018|7280027645662825760|7279052787005115680|7067111825573285126|7081180565369605381|7078810502301814022|7182310243253161222|7182246601505770758|7204551600315043078|7216777377123241221|7216677094103829766|7216590355918114053|7227090588104019227|7306918249722039585|7156663523517402374|7190719786337242374|7210807931204406533|7249052078994165018|7280027645662825760|7279052787005115680
detox,detox,healthy-eating,Healthy eating,groenten,5,7155922938191990022|7268277641050901792|7227456992158240026|7155922938191990022|7268277641050901792
detox,detox,healthy-eating,Healthy eating,vitamines,12,7161863142790712582|7231155724972330266|7280069968769600800|7279061360443444513|7276689033315634464|7182185858848558341|7250076439150595354|7161863142790712582|7231155724972330266|7280069968769600800|7279061360443444513|7276689033315634464
detox,detox,healthy-eating,Healthy eating,supplementen,18,7161863142790712582|7210090669803588869|7209635358244343046|7268277641050901792|7280069968769600800|7279061360443444513|7276689033315634464|7274497973743127840|7293157946471583008|7161863142790712582|7210090669803588869|7209635358244343046|7269663248943779105|7268277641050901792|7280069968769600800|7279061360443444513|7276689033315634464|7293157946471583008
