query,querySlug,cluster,clusterLabel,text,videosNumber,ids
glyphosate,glyphosate,environment,Environment,ecologie,21,7049703338060827909|7083969504807570694|7100937991048154373|7109389334674935046|7241836523023273243|7283571172896247073|7291267866215599393|7306577826780581152|7305762207134911777|7303605000339475745|7049703338060827909|7083969504807570694|7100937991048154373|7109389334674935046|7241836523023273243|7283571172896247073|7291267866215599393|7306577826780581152|7305762207134911777|7303605000339475745|7100937991048154373
glyphosate,glyphosate,environment,Environment,écologie,4,7063202963380096261|7291591484019576096|7063202963380096261|7291591484019576096
glyphosate,glyphosate,environment,Environment,bio,11,7080970400691211525|7131255355463519494|7226973764368600346|7312372249636408608|7308849938857839904|7080970400691211525|7131255355463519494|7226973764368600346|7312372249636408608|7308849938857839904|7080970400691211525
glyphosate,glyphosate,environment,Environment,nature,8,7091962979280866565|7091578825045331206|7091962979280866565|7091578825045331206|7091962979280866565|7091578825045331206|7126551646305275178|7250288626049895726
glyphosate,glyphosate,environment,Environment,faune,6,7091962979280866565|7091578825045331206|7091962979280866565|7091578825045331206|7091962979280866565|7091578825045331206
glyphosate,glyphosate,environment,Environment,environnement,22,7100937991048154373|7125081724605730053|7144250532159376645|7231069257755315483|7282816163132771617|7291591484019576096|7307309591283371296|7303795124130155809|7308802060856626464|7307899053805784352|7100937991048154373|7125081724605730053|7144250532159376645|7231069257755315483|7282816163132771617|7291591484019576096|7307309591283371296|7303795124130155809|7308802060856626464|7307899053805784352|7100937991048154373|7307309591283371296
glyphosate,glyphosate,environment,Environment,ecology,4,7140646722484636933|7282816163132771617|7140646722484636933|7282816163132771617
glyphosate,glyphosate,environment,Environment,organic,37,7226973764368600346|7226973764368600346|7056617659529710894|7056536482663746863|7079961985844235566|7078723030389771526|7099657406711385386|7099615123660180778|7111832431111589166|7111456372780272942|7126685464479829294|7125809517954092331|7138009462115175726|7149324672557944106|7148825671656164613|7171960307810635051|7171577301816200490|7171437878252162305|7171221649189014827|7183340848401337646|7182993558264352046|7182938044755135790|7181297951539547434|7194085897883847982|7216724287816863018|7216467926763719978|7216437942120713515|7227594704257420590|7227244739249048874|7227098069668711726|7250373314244332827|7250310208885394731|7261788672117394734|7273589288288226590|7273212875701816607|7306856973981453600|7318517692032519470
glyphosate,glyphosate,environment,Environment,polution,5,7259672057317772570|7307285860230221089|7259672057317772570|7307285860230221089|7307285860230221089
glyphosate,glyphosate,environment,Environment,biodiversité,4,7283888052714343712|7314424638560357665|7283888052714343712|7314424638560357665
glyphosate,glyphosate,environment,Environment,climatechange,4,7281680448575606048|7281680448575606048|7065407449389468930|7216467926763719978
glyphosate,glyphosate,environment,Environment,greenwashing,3,7304013341515713824|7304013341515713824|7227236363735797038
glyphosate,glyphosate,environment,Environment,ecofriendly,5,7056617659529710894|7065407449389468930|7193417996763680043|7250373314244332827|7306856973981453600
glyphosate,glyphosate,environment,Environment,environment,5,7068954567383338242|7065552096812109057|7065407449389468930|7100889048444685614|7137458427676364078
