query,cluster,text,videosNumber,ids
air purifier,5,salon,4,7188139726304595000|7299972785877585000|7188139726304595000|7299972785877585000
air purifier,5,usa,4,7068193450339945000|7169248153902812000|7166637803013443000|7172545266812243000
air purifier,5,health,4,7220510949365599000|7289016449975242000|7171427638903344000|7176327359514136000
air purifier,5,game,4,7259942991161331000|7259578844586266000|7259576428822269000|7259573709210455000
air purifier,5,instagram,4,7259942991161331000|7259578844586266000|7259576428822269000|7259573709210455000
air purifier,5,couple,4,7259942991161331000|7259578844586266000|7259576428822269000|7259573709210455000
air purifier,5,apple,4,7259942991161331000|7259578844586266000|7259576428822269000|7259573709210455000
air purifier,5,decor,4,7259942991161331000|7259578844586266000|7259576428822269000|7259573709210455000
air purifier,5,oil,4,7259942991161331000|7259578844586266000|7259576428822269000|7259573709210455000
air purifier,5,funny,3,7104992907538550000|7220365450130017000|7104992907538550000
air purifier,5,korting,3,7309113621127253000|7309113621127253000|7309113621127253000
air purifier,5,snow,3,7169248153902812000|7166637803013443000|7172545266812243000
air purifier,5,nature,3,7166637803013443000|7171427638903344000|7176327359514136000
air purifier,5,gezondheid,3,7094301951470472000|7171427638903344000|7176327359514136000
air purifier,6,environmentfriendly,14,7260083491562343000|7291630522260901000|7286090568705347000|7238942821871357000|7236677306872335000|7247476200560463000|7243854603798711000|7241269362798120000|7260083491562343000|7291630522260901000|7286090568705347000|7260083491562343000|7291630522260901000|7286090568705347000
air purifier,6,environmentfriendlyproducts,13,7260083491562343000|7291630522260901000|7286090568705347000|7238942821871357000|7247476200560463000|7243854603798711000|7241269362798120000|7260083491562343000|7291630522260901000|7286090568705347000|7260083491562343000|7291630522260901000|7286090568705347000
air purifier,6,gezond,8,7103875966858055000|7109468559910112000|7108744815336099000|7104931563854466000|7103875966858055000|7109468559910112000|7108744815336099000|7104931563854466000
air purifier,6,homedecor,8,7068193450339945000|7169248153902812000|7166637803013443000|7164865621191069000|7172545266812243000|7200627163341639000|7295839982483279000|7299109827920285000
air purifier,6,healthyliving,6,7230760569618386000|7200627163341639000|7221883481066851000|7276190636754210000|7276183381577059000|7230760569618386000
air purifier,6,homeessentials,6,7259942991161331000|7259578844586266000|7259576428822269000|7259573709210455000|7276190636754210000|7276183381577059000
air purifier,6,huishouden,4,7158514711053471000|7260518174779510000|7158514711053471000|7260518174779510000
air purifier,6,dysonhome,4,7224143568800173000|7275414060437343000|7224143568800173000|7275414060437343000
air purifier,6,essentialoils,4,7169248153902812000|7164865621191069000|7172545266812243000|7299109827920285000
air purifier,6,essentialoil,4,7169248153902812000|7172545266812243000|7200627163341639000|7299109827920285000
air purifier,6,huisstofmijt,3,7241840687229013000|7094301951470472000|7241840687229013000
air purifier,6,healthiswealth,3,7157232783797112000|7276190636754210000|7276183381577059000
air purifier,6,younglivingessentialoils,3,7169248153902812000|7172545266812243000|7299109827920285000
air purifier,6,healthylifestyle,3,7164865621191069000|7200627163341639000|7220510949365599000
air purifier,6,modernhome,3,7200627163341639000|7199073356983864000|7276190636754210000
air purifier,7,tiktokmademebuyit,33,7098601684628147000|7097149463302639000|7153607822373146000|7068193450339945000|7169248153902812000|7166637803013443000|7166272805489692000|7172545266812243000|7200460010390851000|7200459176869613000|7200457718275050000|7195956715265789000|7208605012560236000|7225766345772764000|7220713741858573000|7220677952642600000|7220664232948305000|7220663753304509000|7220630125526699000|7220536266276851000|7220443855835942000|7220365450130017000|7232254536369343000|7240471525822959000|7259942991161331000|7259578844586266000|7259576428822269000|7259573709210455000|7271855846487887000|7267957247882317000|7098601684628147000|7097149463302639000|7153607822373146000
air purifier,7,tiktoktrending,15,7260083491562343000|7291630522260901000|7286090568705347000|7238942821871357000|7236677306872335000|7247476200560463000|7243854603798711000|7241269362798120000|7260083491562343000|7259942991161331000|7291630522260901000|7286090568705347000|7260083491562343000|7291630522260901000|7286090568705347000
air purifier,7,tiktokproducts,12,7260083491562343000|7291630522260901000|7286090568705347000|7220443855835942000|7238942821871357000|7247476200560463000|7260083491562343000|7291630522260901000|7286090568705347000|7260083491562343000|7291630522260901000|7286090568705347000
air purifier,7,tiktok,11,7068193450339945000|7169248153902812000|7166637803013443000|7173415665817226000|7172545266812243000|7220443855835942000|7220365450130017000|7247476200560463000|7271913801769881000|7271629302037368000|7232287834248416000
air purifier,7,cleantok,5,7158514711053471000|7260518174779510000|7292078112723062000|7158514711053471000|7260518174779510000
air purifier,7,tiktoker,5,7169248153902812000|7166637803013443000|7172545266812243000|7271913801769881000|7271629302037368000
air purifier,7,tik_tok,3,7169248153902812000|7166637803013443000|7172545266812243000
