name,cluster,cluster name,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
f7uvcoi5yFE,other,,PBS News Weekend full episode  July 30  2023,no,,no,1690754211,2023-07-30 21:07:51,PBS NewsHour,UC6ZFN9Tx6xh-skXCuRHCDpQ,News & Politics,,en-US,148691,1193,,,0,,https://i.ytimg.com/vi/f7uvcoi5yFE/mqdefault.jpg,FR,Other
1F3erEepj0M,other,,PBS News Weekend full episode  July 29  2023,no,,no,1690669837,2023-07-29 22:07:37,PBS NewsHour,UC6ZFN9Tx6xh-skXCuRHCDpQ,News & Politics,,en-US,121901,1315,,,0,,https://i.ytimg.com/vi/1F3erEepj0M/mqdefault.jpg,FR,Other
zu9bAoyaB1I,other,,France will start evacuation of French  EU citizens from Niger • FRANCE 24 English,no,,no,1690886930,2023-08-01 10:08:50,FRANCE 24 English,UCQfwfsi5VrQ8yKZ-UWmAEFg,News & Politics,en,en,13532,222,,,0,150,https://i.ytimg.com/vi/zu9bAoyaB1I/mqdefault.jpg,FR,Other
ClLGKrw3p3c,other,,France evacuates citizens from Niger after neighbours warn of war • FRANCE 24 English,no,,no,1690903354,2023-08-01 15:08:34,FRANCE 24 English,UCQfwfsi5VrQ8yKZ-UWmAEFg,News & Politics,en,en,1648,25,,,0,28,https://i.ytimg.com/vi/ClLGKrw3p3c/mqdefault.jpg,FR,Other
anUv9EbaRSI,other,,Overtourism and climate change: UNESCO warns Venice s heritage is in danger • FRANCE 24 English,no,,no,1690877996,2023-08-01 08:08:56,FRANCE 24 English,UCQfwfsi5VrQ8yKZ-UWmAEFg,News & Politics,en,en,639,6,,,0,0,https://i.ytimg.com/vi/anUv9EbaRSI/mqdefault.jpg,FR,Other
-iTiHopk0fU,other,,Bird flu: The next pandemic? • FRANCE 24 English,no,,no,1679673713,2023-03-24 16:03:53,FRANCE 24 English,UCQfwfsi5VrQ8yKZ-UWmAEFg,News & Politics,,en,8458,158,,,0,41,https://i.ytimg.com/vi/-iTiHopk0fU/mqdefault.jpg,FR,Other
E7ZgiFmYOjg,other,,France to start evacuating citizens from Niger following coup • FRANCE 24 English,no,,no,1690903313,2023-08-01 15:08:53,FRANCE 24 English,UCQfwfsi5VrQ8yKZ-UWmAEFg,News & Politics,en,en,406,5,,,0,8,https://i.ytimg.com/vi/E7ZgiFmYOjg/mqdefault.jpg,FR,Other
wQqy4a072zY,other,,Italy s tourism industry: Tourists flocking back to popular destinations like Sardinia • FRANCE 24,no,,no,1690905906,2023-08-01 16:08:06,FRANCE 24 English,UCQfwfsi5VrQ8yKZ-UWmAEFg,News & Politics,en,en,250,6,,,0,1,https://i.ytimg.com/vi/wQqy4a072zY/mqdefault.jpg,FR,Other
CoJ0dzETbr4,other,,Niger military coup: France to start evacuating its citizens • FRANCE 24 English,no,,no,1690903294,2023-08-01 15:08:34,FRANCE 24 English,UCQfwfsi5VrQ8yKZ-UWmAEFg,News & Politics,en,en,804,6,,,0,10,https://i.ytimg.com/vi/CoJ0dzETbr4/mqdefault.jpg,FR,Other
3Hykab_dXSk,other,,France to start evacuating citizens from Niger following coup • FRANCE 24 English,no,,no,1690883102,2023-08-01 09:08:02,FRANCE 24 English,UCQfwfsi5VrQ8yKZ-UWmAEFg,News & Politics,en,en,4821,114,,,0,59,https://i.ytimg.com/vi/3Hykab_dXSk/mqdefault.jpg,FR,Other
az2cNpqM_24,other,,Cyclisme. Un Tour de l Ain éco-responsable,no,,no,1690902492,2023-08-01 15:08:12,France 3 Auvergne-Rhône-Alpes,UC_GxHrDkwwADSaAjmXxqtXA,News & Politics,fr-FR,fr,36,4,,,0,,https://i.ytimg.com/vi/az2cNpqM_24/mqdefault.jpg,FR,Other
lMsU_Y2zA3s,other,,Tunisie : sensibilisation des enfants à la préservation de l’environnement,no,,no,1690837474,2023-07-31 21:07:34,TV5MONDE Info,UCzKH70qfN_yuXq3s91fdwmg,News & Politics,en,en,318,4,,,0,1,https://i.ytimg.com/vi/lMsU_Y2zA3s/mqdefault.jpg,FR,Other
V8oVprVtAw0,other,,Taïro  un artiste engagé pour l environnement,no,,no,1690823599,2023-07-31 17:07:19,TV5MONDE Info,UCzKH70qfN_yuXq3s91fdwmg,Entertainment,en,en,271,5,,,0,0,https://i.ytimg.com/vi/V8oVprVtAw0/mqdefault.jpg,FR,Other
